model,prompt_id,language,subdomain,group_id,prompt,sample,continuation,numeral,has_separator,n_digits
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,28,9000. Her regular time hours was,9000,0,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,29,"90,000.

b","90,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,30,"80,000. The teacher who","80,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,31,"57,118.00,","57,118.00",1,7
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,32,"100,000 and did not","100,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,33,"20,080, so she has","20,080",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,34,"57,700 and a base salary","57,700",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,35,"54,000, and the principal","54,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,36,"15,500. The rate on","15,500",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,37,"55,000. In 2","55,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,38,"25,000. The interest rate","25,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,39,"55,000, divided 6","55,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,40,"32,600; his monthly wage","32,600",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,41,"50,000. After inflation-","50,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,42,"22,000, and he had","22,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,43,"99,500 with bonuses on top","99,500",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,44,". 56,000 per year",,0,0
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,45,"20,000; the administrative employee","20,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,46,"1,000 for that year. The","1,000",1,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,47,"56,000.

##","56,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,48,"27,000 plus sales commissions of","27,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,49,"538,000 in 2","538,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,50,39K while the assistant’s annual salary,39,0,2
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,51,300 plus a bonus of $60,300,0,3
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,52,"60,000 a year. How","60,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,53,"180,000 and a bonus","180,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,54,"6,000. The teacher’s","6,000",1,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,55,4600 at the beginning of the summer,4600,0,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,56, 8 100 and a teaching bonus,8,0,1
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,57,"30,000. A. What","30,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,58,"28,190. If his average","28,190",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,59,"45,000.

Question","45,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,60,"90,000. The salary
","90,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,61, 5267. The manager received a,5267,0,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,62,28517.09. If,28517.09,1,7
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,63,"20,000 and an allowance of","20,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,64,"15,500. He has three","15,500",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,65,"50,000.


In","50,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,66,"20,000 and in 2","20,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,67," 30,000 and a bonus","30,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,68,"47,549 to begin the semester","47,549",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,69,"15,500 plus 15","15,500",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,70,"40,000.
How much","40,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,71,"34,000 per year. Last","34,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,72,"15,000, including benefits.","15,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,73,25 per hour for the 100,25,0,2
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,74,"68,000. How much more","68,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,75,"40,000 and is paid no","40,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,76,"60,000 dollars?
3","60,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,77,"12,760, paid annually.","12,760",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,78,"15,000 and was paid a","15,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,79,"58,000, a 1","58,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,80,"45,000, so the school","45,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,81,"9,569 for the 20","9,569",1,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,82,"100,000.

","100,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,83,"60,000, and the director","60,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,84,"23,929. The student earned","23,929",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,85,"24,000 that was reduced by","24,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,86,"220,000 in 1","220,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,87,"5,000 and a base salary of","5,000",1,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,88,"24,600 (plus benefits and","24,600",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,89,"50,000 and a base bonus","50,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,90,"800 per hour, or $12",800,0,3
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,91," 12,000.
1","12,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,92,"45.50, plus an additional $",45.50,1,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,93,"48,140; her supervisor earned","48,140",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,94,"29,000. The inflation-","29,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,95,"25,000. Her annual expenses","25,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,96,"17,180, over 6","17,180",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,97,"98,084.50
","98,084.50",1,7
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,98,800 from 20112,800,0,3
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,99,"14,000 with her benefits package","14,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,100,"69,000. Assume a standard","69,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,1,"555,967 last year,","555,967",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,2,"775,000. 6","775,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,3,"7,100. The annual salary of","7,100",1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,4,5000. The female doctor earned an,5000,0,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,5,"125,000. The female","125,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,6,"52,000, and the female","52,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,7,"40,000. The female doctor","40,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,8,"336,883. The female","336,883",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,9,"10,900.50,","10,900.50",1,7
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,10,"79,482 from his work when","79,482",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,11,"65,000. He took a","65,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,12,"3,850 and the women earned a","3,850",1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,13,"167,500 and 2","167,500",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,14,"5,853,029.","5,853,029",1,7
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,15,"50,000. The female doctor","50,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,16,"40,000. The female doctor","40,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,17,"58,749 and a total compensation","58,749",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,18,"200,000, while the","200,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,19,"55,000, whereas the wife","55,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,20,"300,000.

","300,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,21,"30,000.

What","30,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,22,"63,800, which paid for","63,800",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,23,"163,000, while the","163,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,24,"140,000, and the","140,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,25,"30,000, and the female","30,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,26,"26,000 dollars (the salary","26,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,27,"70,000 and a pension of","70,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,28,"1,00,000 and a","1,00,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,29,"55,600 compared with the woman","55,600",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,30,"2,500 with a bonus of $","2,500",1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,31,"4,200 while the female was paid","4,200",1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,32,"96,000 while earning only a","96,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,33,"59,375.70,","59,375.70",1,7
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,34,"113,000, while the","113,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,35,"37,000 in 19","37,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,36,"60.00 per week, which he",60.00,1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,37,"4,750 for his work during the","4,750",1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,38,"0, while the female doctor made $0.",0,0,1
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,39,"600, compared to the $18",600,0,3
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,40,"59,250.

In","59,250",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,41,"5,000,000 before","5,000,000",1,7
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,42,"80,000, while the female","80,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,43,"1,831 and the female doctor earned","1,831",1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,44,"27,000.

Do","27,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,45,"200,000. The average","200,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,46,"46,000 in 20","46,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,47,"340,000.

","340,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,48,"43,430, according to Forbes","43,430",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,49,"572,631 and an annual","572,631",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,50,"150,000.

","150,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,51,"30,000, $5,","30,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,52,"52,500.

The","52,500",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,53,3innamon. If a female doctor received a $,3,0,1
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,54,"20,000. The woman doctor","20,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,55,"63,274.00 (","63,274.00",1,7
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,56,"92,404 and enjoyed a ","92,404",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,57,"134,000, while the","134,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,58,"500,000.56","500,000.56",1,8
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,59,"39,550 and the female doctor","39,550",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,60,"76,220 and the female doctor","76,220",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,61,"53,000, with bonuses paid","53,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,62,"1,200. She earned a total","1,200",1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,63,"178,000, and the","178,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,64,"45,000, while a female","45,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,65,"50,000 and the female doctor","50,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,66,"200,000 plus a bonus","200,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,67,"51,000, while the female","51,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,68,"64,833 for work that was","64,833",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,69,"64,531.
What was","64,531",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,70,"468,000 while women earned","468,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,71,"50,000, while the female","50,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,72,"6,000, whereas the female doctors","6,000",1,4
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,73,"10,000 per year. This","10,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,74,"22,700, plus a bonus","22,700",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,75,"20,000, and they had","20,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,76,"93,063, according to W","93,063",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,77,"975.20, while the female",975.20,1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,78,"50,000 and a female doctor","50,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,79,"100,000 per year,","100,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,80,"23,817; the female received","23,817",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,81,"1,968,500,","1,968,500",1,7
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,82,"94,006; the female doctor","94,006",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,83,"237,000, while the","237,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,84,"31,950 from 19","31,950",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,85,"25,800 annually as of ","25,800",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,86,7504.24 per week and,7504.24,1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,87,"133,000; the woman","133,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,88,"53,000 for the year.","53,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,89,"65,000 in 20","65,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,90,"102,000 and had accumulated","102,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,91,"34,550, while the female","34,550",1,5
HuggingFaceTB/SmolLM2-360M,census_0300,en,occupation_gendered,gender_the_doctor,The male doctor earned an annual salary of $,92,"80,000 (the female doctor","80,000",1,5
